,START_DATE,END_DATE,CATEGORY,START,STOP,MILES,PURPOSE,hour,day_of_week,is_weekend,is_rush_hour,TEMPERATURE,IS_DAY,RAIN,SNOWFALL,SHOWERS,WEATHER_CODE,WIND_SPEED_10M,WIND_GUSTS_10M,TEMP_WIND,WEATHER_STRESS
25,2016-08-01 12:47:00,2016-08-01 13:04:00,Business,Whitebridge,Arlington Park at Amberly,6.2,NO_DATA,12,0,False,False,54.3,1.0,0.3,0.0,0.0,51.0,9.4,28.4,510.42,143.4
26,2016-03-10 16:18:00,2016-03-10 16:28:00,Business,South Congress,Arts District,1.6,NO_DATA,16,3,False,True,60.1,1.0,0.4,0.0,0.0,51.0,15.2,41.4,913.52,168.1
27,2016-10-30 13:24:00,2016-10-30 14:37:00,Business,Bryson City,Asheville,68.4,NO_DATA,13,6,True,False,75.8,1.0,0.0,0.0,0.0,2.0,10.9,39.2,826.22,127.9
28,2016-10-28 18:13:00,2016-10-28 20:07:00,Business,Winston Salem,Asheville,133.6,Meeting,18,4,False,True,63.8,0.0,0.0,0.0,0.0,0.0,9.2,12.2,586.9599999999999,85.2
29,2016-07-15 11:32:00,2016-07-15 11:53:00,Personal,Banner Elk,Banner Elk,8.3,NO_DATA,11,4,False,False,74.2,1.0,0.0,0.0,0.0,3.0,3.3,22.3,244.85999999999999,102.8
30,2016-07-15 12:09:00,2016-07-15 12:19:00,Personal,Banner Elk,Banner Elk,3.2,NO_DATA,12,4,False,False,75.2,1.0,0.0,0.0,0.0,3.0,3.7,19.4,278.24,101.30000000000001
31,2016-07-15 15:40:00,2016-07-15 15:52:00,Personal,Banner Elk,Banner Elk,4.5,NO_DATA,15,4,False,False,81.3,1.0,0.0,0.0,0.0,3.0,3.1,22.0,252.03,109.39999999999999
32,2016-07-16 21:45:00,2016-07-16 22:18:00,Personal,Banner Elk,Banner Elk,13.0,NO_DATA,21,5,False,False,69.9,0.0,0.0,0.0,0.0,1.0,4.8,7.6,335.52000000000004,83.3
33,2016-07-16 22:50:00,2016-07-16 23:03:00,Business,Banner Elk,Banner Elk,4.4,Errand/Supplies,22,5,False,False,68.7,0.0,0.0,0.0,0.0,0.0,2.6,8.3,178.62,79.6
34,2016-07-16 19:42:00,2016-07-16 20:35:00,Personal,Boone,Banner Elk,23.8,NO_DATA,19,5,False,False,72.7,1.0,0.0,0.0,0.0,0.0,7.4,14.4,537.98,94.50000000000001
35,2016-07-15 15:03:00,2016-07-15 15:33:00,Personal,Elk Park,Banner Elk,12.2,NO_DATA,15,4,False,False,83.3,1.0,0.0,0.0,0.0,3.0,3.9,23.4,324.87,113.6
36,2016-07-14 16:39:00,2016-07-14 20:05:00,Business,Morrisville,Banner Elk,195.3,NO_DATA,16,3,False,True,98.7,1.0,0.0,0.0,0.0,2.0,2.3,20.9,227.01,123.9
